from_lat,from_lon,to_lat,to_lon
50.04364013671875,19.43055002312911,47.76976776123047,22.21471985803489
49.18405151367188,21.471651517427883,47.97615051269531,21.76618194580078
54.248291015625,24.213945661272323,54.3467583090572,24.815285422585227
54.18717723781779,23.37931015912224,54.302284240722656,30.309506135828354
54.17093050681938,23.30967622644761,53.70503571073888,22.773850384880514
49.31735695014565,22.71272899880227,48.07370460639565,21.993431678185093
53.71563720703125,22.778032575334823,52.98797607421875,22.532501220703125
54.063260223905914,29.833031108672607,54.17093050681938,23.30967622644761
54.69878633143538,31.930098100142043,55.14224294888771,24.76443204012784
54.29275771318856,23.76093084161932,53.71563720703125,22.778032575334823
48.16985747773768,22.10209773137019,50.381950766353285,19.519438872466218
52.29597473144531,22.39608764648437,48.3101806640625,21.939274714543263
54.17093050681938,23.30967622644761,54.37789729490119,31.090105281156653
47.97615051269531,21.76618194580078,47.53269758062848,22.24568302470042
55.14224294888771,24.76443204012784,53.98434913764565,23.20021685431985
54.489810620324086,29.72540932488496,54.10254526946504,23.253371294806986
54.3467583090572,24.815285422585227,54.512789968716895,27.01221200871595
48.30120539261123,22.092566239206413,47.70286637645657,23.334737931962806
49.97080062607587,22.334706233097954,47.95625331038136,22.020967923677883
47.95625331038136,22.020967923677883,45.83035226595604,23.11756896972656
54.37789729490119,31.090105281156653,54.17093050681938,23.30967622644761
54.42466735839844,32.77722526999081,54.18717723781779,23.37931015912224
54.18103234242584,23.894455853630514,53.99638366699219,23.32562255859375
47.680850659386586,23.255162857310303,48.18882829051906,22.21088610197368
46.95382690429688,24.107574462890625,48.30120539261123,22.092566239206413
53.58403015136719,22.732439313616077,54.063260223905914,29.833031108672607
54.09514617919922,30.228538513183594,54.29275771318856,23.76093084161932
53.99638366699219,23.32562255859375,53.436987925384,22.258381563074447
48.12442326949814,21.650668619132716,47.099212646484375,22.74609375
54.10254526946504,23.253371294806986,51.40605344610699,22.161865234375
47.76976776123047,22.21471985803489,49.48488914360434,20.11344291068412
46.89189147949219,24.114097595214844,48.35739394365731,21.80193449321546
54.512789968716895,27.01221200871595,54.5302734375,27.99356797162224
52.53549103817697,22.315915014640545,47.91654425152277,21.57200739933894
46.33590956865731,25.154022216796875,48.338985443115234,22.069913423978363
54.66714477539063,23.029120950137862,53.0820271120233,22.666128976004465
